scientific_name,common_name,reserve_name,decimal_latitude,decimal_longitude,date_of_observation,plant_growth_form
Callitris spp.,Cypress Pine,Virginius Reserve,-33.960678,151.022552,1/5/2004 12:00,
Calochilus campestris,,Not in a reserve,-33.916667,151.116667,1897-09-12 00:00:00,herb (10)
Calochilus campestris,,Not in a reserve,-33.975941,151.008207,23/9/2019 11:09,herb (10)
Calochilus gracillimus,,Not in a reserve,-33.926959,151.141425,16/1/2022 15:46,herb (6)
Calystegia sepium,Hedge Bindweed,Kelso Creek,-33.950301,150.984015,1/5/2004 12:00,
Calystegia silvatica,Greater Bindweed,Not in a reserve,-33.917197,151.086472,4/9/2022 11:23,climber_herbaceous (1); herb (3)
Calystegia silvatica,Greater Bindweed,Not in a reserve,-33.91719,151.086436,4/9/2022 11:26,climber_herbaceous (1); herb (3)
Campsis radicans,,Not in a reserve,-33.890251,151.034424,15/10/2024 9:15,climber (1); climber_woody (2); shrub (1)
Canna generalis,,Not in a reserve,-33.96926,151.044229,29/5/2008 0:00,
Capillipedium parviflorum,,Salt Pan Reserve,-33.946515,151.039711,1/5/2004 12:00,graminoid (3); herb (3); tussock (2)
Capillipedium parviflorum,,Not in a reserve,-33.888269,151.029949,17/12/2013 0:00,graminoid (3); herb (3); tussock (2)
Capparis mitchellii,Native Orange,Crest,-33.909349,150.994229,8/10/2004 0:00,shrub (9); tree (7)
Cardamine occulta,Flick Weed,Not in a reserve,-33.9763297,151.0042039,5/8/2007 0:00,herb (3)
Carduus nutans,Nodding Thistle,Not in a reserve,-33.94,151.05,24/11/2021 0:00,herb (7)
Carex pumila,,Not in a reserve,-33.966667,151.016667,18/12/1997 0:00,graminoid (6); herb (5); tussock (1)
Carex pumila,,Not in a reserve,-33.97194,151.03287,7/12/2007 0:00,graminoid (6); herb (5); tussock (1)
Carica papaya,Papaya,The River Reserve,-33.969546,151.016111,1/5/2004 12:00,
Cassia sp.,Cassia,"Lot 5, Prescot Parade Prescot Parade",-33.9447853,150.9769274,1/5/2004 12:00,
Cassine australis,Red Olive Berry,Marion Reserve,-33.914839,151.010151,1/5/2004 12:00,
Cassine australis,Red Olive Berry,Crest,-33.908539,150.99598,1/5/2004 12:00,
Cassine spp.,Olive Berry,Marion Reserve,-33.914839,151.010151,1/5/2004 12:00,
Cassinia denticulata,,Not in a reserve,-33.91509,151.084491,27/11/1927 0:00,shrub (4)
Cassinia laevis,,Carysfield,-33.902161,150.998009,28/4/2008 0:00,shrub (10)
Cassinia longifolia,,Not in a reserve,-33.916667,151.1,1886-11-27 00:00:00,shrub (7)
Cassinia longifolia,,Lansdowne,-33.896245,150.978391,1/5/2004 12:00,shrub (7)
Cassinia ochracea,,Not in a reserve,-33.892993,151.045921,5/9/2014 0:00,shrub (2)
Cassinia sp.,Cassinia,Carysfield,-33.902185,150.998468,1/5/2004 12:00,
Cassinia trinerva,,Not in a reserve,-33.981062,150.99961,22/6/1999 0:00,shrub (8); tree (5)
Cassinia trinerva,,Not in a reserve,-33.981062,150.99961,22/6/1999 0:00,shrub (8); tree (5)
Cassytha phaeolasia,Rusty Dodder-laurel,Not in a reserve,-33.916667,151.066667,,climber (1); climber_herbaceous (2); herb (2)
Casuarina cuneifolia,,Amaroo,-33.908,150.982962,1/5/2004 12:00,
